query,clicks,demand,sources,decision,notes
микрозайм sravni,323,941,microzaim,,
займы онлайн на карту топ,323,554,microzaim,,
микрозаймы без отказа на карту,323,339,zaim,,
новые мфо на карту без отказа,323,256,zaim,,
новые мфо онлайн на карту без отказа,322,272,zaim,,
как выбрать микрозайм,322,267,microzaim,,
микрозайм 100 процентов одобрение creditulka,322,156,microzaim,,
займы сто процентов одобрят на карту,321,429,microzaim,,
микрозайм на месяц,321,315,microzaim,,
микрозайм без процентов на карту мгновенно онлайн без отказа,320,637,microzaim,,
займ на карту по паспорту срочно,320,412,microcredit,,
микрозайм альфа банк,320,404,microzaim,,
новые малоизвестные микрозаймы на карту,320,359,zaim,,
микрозайм за 5 минут,320,358,microzaim,,
микрозайм на карту по паспорту,319,461,microzaim,,
целфин,319,448,zaim,,
микрозайм проверенный,319,406,microzaim,,
микрозайм сравни ру,319,399,microzaim,,
микрозайм ю лонс,319,150,microzaim,,
оформить микрокредит онлайн,318,434,microcredit,,
микрозайм на кредитную карту,318,279,microzaim,,
быстрый займ без отказа на любую карту,317,430,microzaim,,
займы лучшие онлайн,316,480,microzaim,,
микрозайм по телефону,316,404,microzaim,,
как взять микрозайм без работы,316,306,microzaim,,
микрозайм без процентов первый,315,439,"microzaim;zaim",,
рейтинг лучших микрозаймов,315,422,microzaim,,
